title,url,webentity_type,classifications_sitpol,classifications_ddc,specific_agents,specific_actor_type,descriptions@lang=fr,keywords@lang=fr,keywords@lang=en,creators@role=pbl,languages,publication_countries,rec_type_cerimes,target_audiences_cerimes,rec_created_use,notes@lang=fr
Le Figaro,http://www.lefigaro.fr,Page d'accueil,vie politique:campagne électorale ; économie:crise financière ; société:société ; sécurité et défense:sécurité et défense,070 ; 944,,media,Quotidien généraliste français. Le plus ancien quotidien (fondé en 1826) encore publié. Sa ligne éditoriale est de droite ou de centre-droit. ,actualités ; vie politique ; économie ; France ; Droite,News ; politics ; conservative ; economic policy ;  France ;,Le Figaro.fr,fre,FR,10,11,DG,
La Croix,http://www.la-croix.com,Page d'accueil,vie politique:campagne électorale ; économie:économie ; société:laïcité et religion,070 ; 944,,media,"Quotidien catholique français, propriété du groupe Bayard-Presse.",Médias ; actualités ; vie politique ; religion ;  Catholiques ; France,Media ; News ; politics ; religion ; France ; Catholics,La-Croix.com,fre,FR,12,11,DG,
24heuresactu,http://24heuresactu.com,Page d'accueil,vie politique:campagne électorale ; économie:économie ; société:société,070 ; 944,,media,"Site d'actualité de tendance droite ""populaire"". Souverainiste, très critique sur la gauche et les écologistes, il ne ménage pas non plus des ministres comme Frédéric Mitterrand.",Société ; vie politique ; économie ; vie sociale,Society ; politics ; economics ; social issues,24 heures actu,fre,FR,10,11,DG,
Rosselin sur Twitter,https://twitter.com/rosselin,Page spécifique,vie politique:campagne électorale ; économie:innovation ; culture et communication:culture et communication ; numérique:numérique,070 ; 944,françois hollande,journalist,"Page twitter de Jacques Rosselin, Ingénieur médias, 
travaille pour la Tribune (www.latribune.fr).",Vie politique ; médias; économie numérique ; innovation ; France ; élections,politics ; media ; digital economy ; innovation ; France,Jacques Rosselin,fre,FR,13,11,DG,
Les échos de la gauchosphère : humeurs de gauche et de combat,http://gauchedecombat.wordpress.com,Page spécifique,vie politique:campagne électorale ; économie:mondialisation ; administration publique:service public ; emploi:emploi ,070 ; 944,jean-luc mélenchon,activist,Blog d'extrême gauche. Commentaires sur l'actualité politique et sociale de France et d'Europe. ,Extrême-gauche ; France ; Citoyen ; Vie politique,Politics ; Citizen ; Radical ; France,Gauchedecombat,fre,FR,13,11,DG,
"Koztoujours, tu m'intéresse",http://www.koztoujours.fr,Page d'accueil,vie politique:campagne électorale ; société:laïcité et religion,070 ; 944,christine boutin,blogger,"Veut ""faire entendre une voix trop faiblement représentée sur le net"". Chrétien de centre-droit pro-européen, Erwan Le Morhedec, l'auteur du Koz a trois autres contributeurs : Dang, Libéral et Eponymus",Vie politique ; Christianisme ; Centre droit ; France ; Europe,Politics ; Christianism ; Centre-Right ; France ; Europe,Erwan Le Morhedec,fre,FR,13,11,DG,
Atlantico,http://www.atlantico.fr,Page d'accueil,vie politique:campagne électorale ; société:société ; économie:économie ; relations internationales:relations internationales,070 ; 944,,media,"Agrégateur de presse : décryptage, pépites, dossiers, rendez-vous, contributeurs",Actualités ; Presse ; France ; Vie politique,News ; Media ; France ; Politcs,Atlantico.fr,fre,FR,10,11,DG,
Newsring : le site qui fait progresser les débats,http://www.newsring.fr,Page d'accueil,"vie politique:campagne électorale ; société:société ; économie:finances publiques ; économie:entreprise ; politique sociale:santé ; culture et communication:culture et communication ; éducation:éducation ; emploi:emploi ; relations internationales:relations internationales
",070 ; 944,,media,"Site de débat lancé par le journaliste et animateur  Frédéric Taddeï, les fondateurs du groupe Webmedia Guillaume Multrier et Cédric Siré et le vice-président du Geste Julien Jacob. ",Vie politique ; Débat public ; Actualités ; Médias ; Enjeux ; Élections ; France,News ; Ciitizen ; Politics ; Public Debate ; Elections ; Issues ; France,Newsring,fre,FR,10,11,DG,
Le Huffington Post,http://www.huffingtonpost.fr,Page d'accueil,vie politique:campagne électorale ; société:société ; relations internationales:relations internationales ; économie:économie,070 ; 944,,media,"Version française du site d'information américain ""Huffington Post"" en association avec le Groupe ""Le Monde"", avec comme directrice éditoriale la journaliste Anne Sinclair. Le site mélange informations, opinions et blogs écrits par toutes sortes d'intervenants, dont des célébrités, se voulant un rendez-vous de grandes signatures.",Actualités ; médias ; vie politique ; élections ; France,News ; media ; Politics ; France,Huffingon Post.fr,fre,FR,10,11,DG,
Enquête et Débats : ouverture d'esprit et liberté d'expression,http://www.enquete-debat.fr,Page d'accueil,vie politique:campagne électorale ; vie politique:identité nationale ; société:laïcité et religion ; société:immigration ; sécurité et défense:sécurité et défense ; justice:justice ; économie:crise financière ; culture et communication:culture et communication ; relations internationales:relations internationales,070 ; 944,,media,"Site d'information et de débats, animé par Jean Robin, jeune journaliste, créateur de l'AQIT, (“acuité”) [Association pour la Qualité de l'Information]. Ce site défend une ligne libérale, qui considère les médias comme ""le clergé des temps modernes"" et qu'internet devrait assurer la liberté d'expression.",Médias ; culture ; vie politique ; société ; identité nationale ; relations internationales ; France ; élections,media ; politics ; culture ; society ; national identity ; race ; international relations ; elections ; France,Enquête & débats,fre,FR,10,11,DG,
Huff Post Politique,http://www.huffingtonpost.fr/actualites/politique/,Page spécifique,vie politique:vie politique ; administration publique:administration publique ; culture et communication:culture et communication,070 ; 944,,media,Rubrique politique du Huffington Post.fr. ,Actualités ; médias ; vie politique ; élections ; France ; monde,News ; media ; Politics ; France,Huffingon Post.fr,fre,FR,10,11,DG,
France culture - Politique,http://www.franceculture.fr/theme/organisations/politique,Page spécifique,vie politique:vie politique ; culture et communication:culture et communication ,070 ; 944,,media,Rubrique politique sur France Culture.,Vie politique ; Médias ; Radio France ; actualités  ; Réseaux sociaux ; Elections ; France,Politics ; Media ; Society ; Elections ; Radio France ; News ; France,France Culture - Radio France,fre,FR,10,11,DG,
Hashtable,http://h16free.com,Page d'accueil,vie politique:vie politique ; économie:économie ; économie:crise financière,070 ; 944,,blogger,"""Petites chroniques désabusées d'un pays en lente décomposition..."" Blog plutôt libéral",Vie politique ; Libéralisme ; France,Politics ; Free Market ; France,Hashtable,fre,FR,13,11,DG,
L'Express - Politique,http://www.lexpress.fr/actualite/politique/,Page d'accueil,vie politique:vie politique ; relations internationales:relations internationales ; administration publique:administration publique,070 ; 944,,media,Magazine hebdomadaire d'informations générales appartenant au groupe Express-Roularta,Actualité ; vie politique ; élections ; enseignement ; administration ; France ; ,News ; politics ; international relations ; public administration  ; education ; France ,L'Express,fre,FR,12,11,DG,
Médiapart,http://www.mediapart.fr,Page d'accueil,vie politique:vie politique ; relations internationales:relations internationales ; politique sociale:politique sociale ; société:société ; europe:europe ; économie:crise financière,070 ; 944,,media,"Site du quotidien en ligne ""pure player"" lancé par Edwy Plenel.",Médias ; actualités ; Vie politique ; Vie sociale ; France,Media ; News ; Politics ; France ; Social Life,Médiapart,fre,FR,10,11,DG,
"Rezo.net, le portail des copains",http://rezo.net,Page d'accueil,vie politique:vie politique ; société:société ; économie:économie ; économie:crise financière ; environnement:environnement ; culture et communication:culture et communication,070 ; 944,,association,Agrégateur d'un certain nombre de sites traitant de l'actualité (presse en ligne et blogs militants). ,Actualités ; Citoyen ; France ; Vie politique,News ; Citizen ; France ; Politcs,Rezo.net,fre ; eng,FR,10,11,DG,
Arrêt sur images,http://www.arretsurimages.net,Page d'accueil,vie politique:vie politique ; société:société ; relations internationales:relations internationales,070 ; 944,,media,Le site reprend la célèbre émission de Daniel Schneidermann de critique des médias. ,Médias ; Gauche ; Vie politique ; Vie sociale ; France,Media ; Politics ; France ; Social issues,@rrêt sur images,fre,FR,10,11,DG,
Place publique,http://www.place-publique.fr,Page d'accueil,vie politique:vie politique ; vie politique:citoyenneté ; société:société ; économie:économie ; politique sociale:politique sociale,070 ; 944,,association,"Le site Place-Publique.fr, pionnier de la presse internet en France, depuis douze ans, s'est lancé, depuis mars 2008, dans un grand chantier de modernisation. S'affirmant comme un contrepouvoir, il entend prendre sa place dans l'information en ligne indépendante, privilégiant les idées et les actions, dans le contrechamp de l'actualité. Axé sur la problématique « futur et citoyenneté », il est composé outre la partie « Magazine », d’une partie « Observatoire  » avec une offre d’études, d’analyses et des outils de veille, ainsi qu’une partie « Initiatives » entièrement réactualisée, permettant au réseau social de Place-Publique.fr d’échanger individuellement ou collectivement.",Citoyen ; Médias ; Vie politique ; Réseaux sociaux ; prospective ; économie politique ; politique sociale ; France,Media ; Citizen ; News ; Politics ; France ; Social network,Place publique,fre,FR,10,11,DG,
Le Nouvel Observateur,http://tempsreel.nouvelobs.com,Page d'accueil,,070 ; 944,,media,Hebdomadaire généraliste de centre-gauche.,Actualités ; vie politique ; relations internationales ; société ; culture ; médias ; France ; Gauche,News ; politics ; economy ; society ; culture ; international relations ; Leftwing ; France ,nouvelobs.com,fre,FR,12,11,DG,
Le Parisien - Aujourd'hui en France,http://www.aujourdhui-en-france.fr,Page d'accueil,,070 ; 944,,media,"Quotidien régional français, le Parisien constitue avec son édition nationale ""Aujourd'hui en France"", le premier quotidien général d'information nationale. ",Actualités ; vie politique ; relations internationales ; société ; culture ; médias ; France,News ; politics ; economy ; society ; culture ; international relations ; France ,Aujourd'hui.fr ou Le Parisien.fr,fre,FR,12,11,DG,
Le Point,http://www.lepoint.fr,Page d'accueil,,070 ; 944,,media,"Hebdomadaire d'information générale fondé en 1972. Sa ligne éditoriale est centriste et libérale, mais il ouvre ses pages à toutes les opinions politiques.. ",Médias ; Hebdomadaire ; Centre ; France,News ; politics ; economy ; society ; culture ; international relations ; France ,Le Point.fr,fre,FR,12,11,DG,
Le Monde.fr,http://www.lemonde.fr,Page d'accueil,,070 ; 944,,media,"Quotidien généraliste français. Quotidien de référence, il est toujours le plus diffusé à l'étranger. Présent sur internet depuis décembre 1995, la quasi-totalité du contenu et les articles de moins de trois jours sont librement accessibles gratuitement. ",Actualités ; vie politique ; économie ; société ; médias ; Relations internationales ; France,News ; politics ; economics ; society ; media ; International relations ; France,Le Monde.fr,fre,FR,12,11,DG,
